epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.45862826704978943,41.59918975830078,0.5244140625,0.9749361276626587
1,0.5782279968261719,0.9223394989967346,0.7021484375,0.7505786418914795
2,0.73370760679245,0.6295992732048035,0.728515625,0.6081710457801819
3,0.8645350337028503,0.33692046999931335,0.8095703125,0.4437252879142761
4,0.9448376893997192,0.16904178261756897,0.8544921875,0.3792017102241516
5,0.9753478169441223,0.08672197163105011,0.9091796875,0.266397625207901
6,0.9882841110229492,0.049710411578416824,0.9365234375,0.1691826730966568
7,0.9946302175521851,0.0296865813434124,0.947265625,0.16668179631233215
8,0.9990236759185791,0.011573738418519497,0.953125,0.13061895966529846
9,1.0,0.00466895429417491,0.955078125,0.13511250913143158
